"","lon","lat","t","m"
"303",-116.258,34.805,4.33549768518519,3.29
"304",-116.326,34.51,4.33579861111111,3.2
"305",-116.298,34.606,4.48625,3.08
"306",-116.358,34.67,4.58325231481481,4.12
"307",-116.404,34.832,4.64763888888889,3.26
"308",-116.388,34.832,4.67478009259259,3.11
"309",-116.29,34.594,4.71271990740741,3.58
"310",-116.287,34.799,4.77600694444444,3.09
"311",-116.294,34.538,4.8171412037037,3.29
"312",-116.379,34.818,4.88878472222222,3.04
"313",-116.365,34.82,4.93950231481482,3.27
"314",-116.397,34.866,4.94766203703704,4.25
"315",-116.396,34.846,4.96582175925926,3.11
"316",-116.406,34.859,4.9659375,3.26
"317",-116.39583,34.8675,4.96738425925926,3.77
"318",-116.3895,34.86717,4.96765046296296,3.42
"319",-116.391,34.874,4.96770833333333,4.98
"320",-116.395,34.863,4.96983796296296,4.51
"321",-116.41,34.853,4.97273148148148,3.32
"322",-116.192,34.36833,4.97431712962963,3.07
"323",-116.408,34.861,5.03951388888889,3.01
"324",-116.402,34.864,5.05271990740741,3.58
"325",-116.304,34.644,5.06487268518519,3.12
"326",-116.412,34.856,5.12520833333333,3.02
"327",-116.27,34.528,5.12956018518519,3.8
"328",-116.306,34.682,5.23163194444444,3.23
"329",-116.41,34.865,5.29520833333333,3.47
"330",-116.407,34.866,5.31684027777778,3.5
"331",-116.407,34.862,5.38988425925926,3.18
"332",-116.306,34.69,5.48384259259259,3.35
"333",-116.292,34.654,5.51258101851852,3.16
"334",-116.45467,34.35,5.84456018518518,3.02
"335",-116.258,34.521,5.94212962962963,3.33
"336",-116.262,34.564,5.97059027777778,3.95
"337",-116.269,34.509,6.04755787037037,3.98
"338",-116.36,34.696,6.13399305555556,3.71
"339",-116.266,34.597,6.3703587962963,3.79
"340",-116.207,34.336,6.41652777777778,4.18
"341",-116.193,34.412,6.45957175925926,3.36
"342",-116.398,34.855,6.45983796296296,3.77
"343",-116.257,34.567,6.5180787037037,3.46
"344",-116.409,34.865,6.56092592592593,4.99
"345",-116.426,34.856,6.56394675925926,3.12
"346",-116.409,34.85,6.57152777777778,3.24
"347",-116.387,34.824,6.58217592592593,3.69
"348",-116.259,34.582,6.5844212962963,3.28
"349",-116.382,34.827,6.58841435185185,4.06
"350",-116.394,34.822,6.59064814814815,3.68
"351",-116.398,34.861,6.59236111111111,3.54
"352",-116.4,34.825,6.70625,3.29
"353",-116.419,34.863,6.73186342592593,3.25
"354",-116.396,34.87,6.73260416666667,4.06
"355",-116.388,34.861,6.73363425925926,4.18
"356",-116.4,34.856,6.73453703703704,3.28
"357",-116.393,34.858,6.76310185185185,3.84
"358",-116.427,34.854,6.81054398148148,3.35
"359",-116.33884,34.655,6.81490740740741,3.34
"360",-116.284,34.663,6.85449074074074,3.06
"361",-116.393,34.815,7.03337962962963,3.01
"362",-116.41,34.84,7.39729166666667,3.05
"363",-116.136,34.34,7.39954861111111,3.19
"364",-116.261,34.436,7.43171296296296,3.09
"365",-116.403,34.86,7.47074074074074,3.22
"366",-116.387,34.819,7.89403935185185,3.02
"367",-116.289,34.668,7.98674768518519,3.48
"368",-116.194,34.367,8.0725,3.36
"369",-116.391,34.828,8.2190162037037,3.52
"370",-116.299,34.725,8.33196759259259,3.29
"371",-116.399,34.842,8.3974537037037,3.58
"372",-116.343,34.805,8.54222222222222,3.34
"373",-116.308,34.656,8.6384837962963,3.03
"374",-116.321,34.681,8.85131944444444,3.12
"375",-116.293,34.613,9.19423611111111,3.03
"376",-116.342,34.708,9.57729166666667,3.36
"377",-116.316,34.645,9.60895833333333,3.16
"378",-116.29,34.53,9.65533564814815,3.65
"379",-116.243,34.617,9.6562037037037,4.63
"380",-116.266,34.49,9.72326388888889,3.69
"381",-116.381,34.818,10.0265162037037,3.28
"382",-116.271,34.521,10.0487962962963,3.29
"383",-116.242,34.626,10.0749768518519,3.18
"384",-116.352,34.831,10.7123726851852,3.06
"385",-116.364,34.699,10.8201851851852,3.07
"386",-116.293,34.649,10.8353703703704,3.06
"387",-116.264,34.555,11.0317013888889,3.05
"388",-116.305,34.67,11.0453935185185,3.21
"389",-116.242,34.617,11.2371990740741,3.28
